文献番号,著者・編者,著者・編者ふりがな,発行年1,発行年2,論文名,雑誌名・報告書名
B010001,赤井文人・加藤博文・友田哲弘,あかいふみと・ともだてつや・かとうひろふみ,2004,,旭川市桜岡３遺跡の調査（第一次調査報告）,北海道旧石器文化研究第９号
B010002,明石博志,あかしひろし,1965,,暁遺跡,郷土十勝５
B010003,明石博志,あかしひろし,1996,,斗満遺跡の発見について,北海道旧石器文化研究第１号
B010004,旭川工業高等学校郷土研究部,あさひかわこうぎょうこうとうがっこうきょうどけんきゅうぶ,1966,,65採集記,郷土２
B010005,安足間文化協会,あんたろまぶんかきょうかい,1960,,,江差牛
B010006,石橋次雄・大槻日出男,いしばしつぎお・おおつきひでお,1983,,Spfa1二次堆積層中発見の剥片尖頭器,十勝考古第６号
B010007,出穂雅実,いずほまさみ,2001,,第二章　先史,続滝上町史
B010008,出穂雅実・赤井文人,いずほまさみ・あかいふみと,2008,,,滝上町の先史時代
B010009,今井真司,いまいまさし,1999,,,西町１遺跡
B010010,岩谷朝吉,いわたにあさきち,1963,,,北海道白滝無土器文化遺物図版
B010011,上野秀一,うえのしゅういち,1981,,,モサンル
B010012,上野秀一・宮塚義人,うえのしゅういち・みやづかよしと,1976,,北海道余市郡赤井川村都遺跡出土石器について,北海道考古学12
B010013,氏江敏文,うじえとしふみ,1984,,名寄市朝日１遺跡出土の遺物,道北文化研究13
B010014,上屋真一,うわやしんいち,1994,,,ユカンボシＥ５遺跡低地面における調査
B010015,遠軽町,えんがるちょう,1977,,,遠軽町史
B010016,遠藤香澄ほか,えんどうかすみ,1990,,,美沢川流域の遺跡群Ⅷ
B010017,遠藤邦彦・上杉陽,えんどうくにひこ・うえすぎよう,1977,,トコロ岐阜第二遺跡周辺の第四紀層序と先縄文石器群包含層,岐阜第二遺跡
B010018,大泉博嗣ほか,おおいずみひろつぐ,1998,,,柏原27・ニナルカ・静川５・６遺跡
B010019,大井晴男,おおいはるお,1963,,北海道北見市大正遺跡発掘調査報告,考古学雑誌第49巻第２号
B010020,大井晴男・久保勝範,おおいはるお・くぼかつのり,1972,,北見市本沢遺跡の調査－第一次報告－,北見市郷土博物館紀要第２集
B010021,大島秀俊,おおしまひでとし,1997,,,千歳市オサツ16遺跡（２）
B010022,大島秀俊・谷岡康孝,おおしまひでとし・たにおかやすたか,1998,,,千歳市オサツ16遺跡（３）
B010023,大塚和義,おおつかかずよし,1965,,白滝鴻上台地Ⅴ地点の石器群,Field1
B010024,大沼忠春,おおぬまただはる,1985,,,北町地区の遺跡
B010025,大場利夫・大谷良夫,おおばとしお・おおたによしお,1959,,,北見市上常呂遺跡
B010026,大場利夫・桐井力蔵,おおばとしお・きりいりきぞう,1958,,,岩内遺跡
B010027,大場利夫・近藤祐弘・久保勝範・宮宏明,おおばとしお・こんどうゆうこう・くぼかつのり・みやひろあき,1983,,吉井沢遺跡発掘調査報告,北見郷土博物館紀要－考古学関係特輯号（Ⅰ）－第13集
B010028,大場利夫・近藤祐弘・久保勝範・宮宏明,おおばとしお・こんどうゆうこう・くぼかつのり・みやひろあき,1984,a,北上台地遺跡発掘調査報告,北見郷土博物館紀要－考古学関係特輯号（Ⅱ）－第14集
B010029,大場利夫・棚橋善一・金子有明,おおばとしお・たなはしぜんいち・かねこありあき,1963,,,寿都遺跡
B010030,大場利夫・松下亘,おおばとしお・まつしたわたる,1965,,１　北海道の先土器時代,日本の考古学I　先土器時代
B010031,大場利夫・近藤祐弘・柳原哲司・宮宏明,おおばとしお・こんどうゆうこう・やなぎはらてつじ・みやひろあき,1984,b,広郷丸山遺跡発掘調査報告,北見郷土博物館紀要－考古学関係特輯号（Ⅲ）－第15集
B010032,岡田淳子,おかだあつこ,1978,,,亦稚貝塚
B010033,音更町教育委員会,おとふけちょうきょういくいいんかい,1989,,,十勝川温泉１遺跡
B010034,鬼柳彰・田才雅彦ほか,おにやなぎあきら・たさいまさひこ,1992,,,恵庭市ユカンボシＥ４遺跡
B010035,小野爾良・加藤晋平・鶴丸俊明,おのじりょう・かとうしんぺい・つるまるとしあき,1972,,北海道訓子府町増田遺跡の第一次調査,考古学ジャーナルNo.71
B010036,小野哲也,おのてつや,2004,,,厚真町上幌内モイ遺跡　北海道考古学会2004年度遺跡調査報告会資料集
B010037,帯広市教育委員会,おびひろしきょういくいいんかい,1978,,,上似平遺跡
B010038,帯広市教育委員会,おびひろしきょういくいいんかい,1983,,,北海道帯広空港南A遺跡
B010039,帯広市教育委員会,おびひろしきょういくいいんかい,1985,,,帯広・暁遺跡
B010040,帯広市教育委員会,おびひろしきょういくいいんかい,1986,a,,帯広・暁遺跡２
B010041,帯広市教育委員会,おびひろしきょういくいいんかい,1986,b,,帯広・空港南Ｂ遺跡
B010042,帯広市教育委員会,おびひろしきょういくいいんかい,1987,,,帯広・上以平遺跡２
B010043,帯広市教育委員会,おびひろしきょういくいいんかい,1988,,,帯広・暁遺跡３
B010044,帯広市教育委員会,おびひろしきょういくいいんかい,1991,,,帯広・暁遺跡４
B010045,帯広市教育委員会,おびひろしきょういくいいんかい,1992,a,,帯広・落合遺跡
B010046,帯広市教育委員会,おびひろしきょういくいいんかい,1992,b,,帯広・泉町A遺跡
B010047,帯広市教育委員会,おびひろしきょういくいいんかい,1993,,,帯広・大空遺跡
B010048,帯広市教育委員会,おびひろしきょういくいいんかい,1995,,,帯広・南町遺跡
B010049,帯広市教育委員会,おびひろしきょういくいいんかい,1997,,,帯広・稲田１遺跡
B010050,帯広市教育委員会,おびひろしきょういくいいんかい,1998,,,帯広・川西Ｃ遺跡
B010051,帯広市教育委員会,おびひろしきょういくいいんかい,1999,,,帯広・落合遺跡２
B010052,帯広市教育委員会,おびひろしきょういくいいんかい,2000,,,帯広・川西Ｃ遺跡２
B010053,帯広市教育委員会,おびひろしきょういくいいんかい,2001,a,,帯広・別府１遺跡
B010054,帯広市教育委員会,おびひろしきょういくいいんかい,2001,b,,帯広・岩内１遺跡
B010055,帯広市教育委員会,おびひろしきょういくいいんかい,2002,,,帯広・落合遺跡３
B010056,帯広市教育委員会,おびひろしきょういくいいんかい,2004,,,帯広・若葉の森遺跡
B010057,帯広市教育委員会,おびひろしきょういくいいんかい,2005,,,帯広・大空２遺跡
B010058,帯広市教育委員会,おびひろしきょういくいいんかい,2006,,,帯広・大正遺跡群２
B010059,帯広先史文化研究会,おびひろせんしぶんかけんきゅうかい,1982,,,帯広空港南Ａ遺跡・宮本遺跡範囲確認調査報告書
B010060,加藤邦雄・上野秀一・羽賀憲二,かとうくにお・うえのしゅういち・はがけんじ,1982,,,札幌市文化財調査報告書25
B010061,加藤邦雄・上野秀一・羽賀憲二,かとうくにお・うえのしゅういち・はがけんじ,1984,,,札幌市文化財調査報告書27
B010062,加藤晋平,かとうしんぺい,1970,,先土器時代の歴史性と地域性,郷土史研究と考古学　郷土史研究講座１
B010063,加藤晋平・大井晴男,かとうしんぺい・おおいはるお,1961,,北海道常呂郡訓子府町緑丘B遺跡－第１次報告,民族学研究第26巻第１号
B010064,加藤晋平・桑原護,かとうしんぺい・くわはらまもる,1969,,,中本遺跡　北海道先土器遺跡の発掘報告
B010065,加藤晋平・鶴丸俊明,かとうしんぺい・つるまるとしあき,1973,,,大昔のくんねっぷ―１―
B010066,加藤晋平・鶴丸俊明・水村孝行,かとうしんぺい・つるまるとしあき・みずむらたかゆき,1971,,多面体彫器の問題－北海道東部間村・吉村両遺跡の調査から－,考古学ジャーナルNo.57
B010067,加藤晋平・畑宏明・鶴丸俊明,かとうしんぺい・はたひろあき・つるまるとしあき,1970,,エンドスクレーパーについて－北海道常呂郡端野町吉田遺跡の例－,考古学雑誌第55巻第３号
B010068,加藤晋平・藤本強,かとうしんぺい・ふじもとつよし,1965,,,端野町のむかし
B010069,加藤晋平・藤本強,かとうしんぺい・ふじもとつよし,1969,,,一万年前のたんの
B010070,加藤晋平・山田昌久,かとうしんぺい・やまだまさひさ,1988,,北海道河東郡上士幌町嶋木遺跡の石器文化,歴史人類第16号
B010071,兼重達男,かねしげたつお,1969,,第２編 先史時代,士別市史
B010072,鎌田望・笠原興ほか,かまたのぞみ・かさはらこう,1999,,,千歳市キウス５遺跡（７）・キウス遺跡（６）
B010073,上士幌町教育委員会,かみしほろちょうきょういくいいんかい,1985,,,居辺遺跡
B010074,上士幌町教育委員会,かみしほろちょうきょういくいいんかい,2001,,,居辺17遺跡
B010075,北沢実,きたざわみのる,1999,,上士幌町13の沢遺跡の分布調査,北海道旧石器文化研究第4号
B010076,宮宏明,みやひろあき,1984,,,広郷８遺跡（Ⅰ）－道営畑地帯総合土地改良事業北見南部地区内埋蔵文化財緊急発掘調査概要報告書－
B010077,宮宏明,みやひろあき,1985,,,広郷８遺跡（Ⅱ）－道営畑地帯総合土地改良事業北見南部地区内埋蔵文化財緊急発掘調査概要報告書－
