ID,Citation,Author (Japanease),Author (Japanease),Publication year,Publication year,Paper name,Journal/ Report name,Link 
文献ID,短縮表記,著者・編者,著者・編者ふりがな,発行年1,発行年2,論文名,雑誌名・報告書名,固定リンク
B040001,一迫町史編纂委員会1976,一迫町史編纂委員会,いちはさまちょうしへんさんいいんかい,1976,,,一迫町史,http://ci.nii.ac.jp/ncid/BN03538154
B040002,大場2008,大場亜弥,おおばあや,2008,,宮城県栗原市大久保遺跡,第22回 東北日本の旧石器文化を語る会予稿集,http://ci.nii.ac.jp/ncid/BN11814337
B040003,大場2004,大場正善,おおばまさよし,2004,,宮城県柴田郡村田町新川流域遺跡群について,宮城考古学第６号,http://iss.ndl.go.jp/books/R000000004-I7420502-00
B040004,女川町誌編さん委員会1991,女川町誌編さん委員会,おながわちょうしへんさんいいんかい,1991,,,女川町誌,http://ci.nii.ac.jp/ncid/BN03541363
B040005,小野田町教育委員会2000a,小野田町教育委員会,おのだまちきょういくいいんかい,2000,a,,薬莱山麓遺跡群発掘調査報告書Ⅱ　小野田町文化財調査報告書第７集,http://ci.nii.ac.jp/ncid/BA79974490
B040006,小野田町教育委員会2000b,小野田町教育委員会,おのだまちきょういくいいんかい,2000,b,,薬莱山麓遺跡群発掘調査報告書 －薬莱地区総合保養地域開発に伴う関係遺跡調査－　小野田町文化財調査報告書第８集,http://ci.nii.ac.jp/ncid/BA79975154
B040007,加美町教育委員会2007,加美町教育委員会,かみまちきょういくいいんかい,2007,,,薬莱原No.15・薬莱原No.25遺跡 －町道表薬莱線整備工事に伴う発掘調査報告書　加美町文化財調査報告書第11集,http://ci.nii.ac.jp/ncid/BA89575345
B040008,興野1959,興野義一,きょうのよしいち,1959,,江合川流域の石器時代文化,仙台郷土研究19-3,http://ci.nii.ac.jp/ncid/AN00132905
B040009,興野・遠藤1970,興野義一・遠藤智一,きょうのよしいち・えんどうちいち,1970,,宮城県玉造郡岩出山町の考古学遺跡,岩出山町史 下巻,http://ci.nii.ac.jp/ncid/BN11112974
B040010,栗原市教育委員会2008,栗原市教育委員会,くりはらしきょういくいいんかい,2008,,大久保遺跡,平成20年度 宮城県遺跡調査成果発表会　発表要旨,http://ci.nii.ac.jp/ncid/BN1161788X
B040011,栗原市教育委員会2009,栗原市教育委員会,くりはらしきょういくいいんかい,2009,,,伊治城跡－平成20年度：第36次発掘調査報告書　栗原市文化財調査報告書第９集,http://sitereports.nabunken.go.jp/10323
B040012,蔵王町史編纂委員会1987,蔵王町史編纂委員会,ざおうちょうしへんさんいいんかい,1987,,,蔵王町史 資料編Ⅰ,http://id.ndl.go.jp/bib/000001988000
B040013,佐川・大場2003,佐川正敏・大場正善,さがわまさとし・おおばまさよし,2003,,賀篭沢遺跡2003年度発掘調査の成果,第17回 東北日本の旧石器文化を語る会予稿集,http://ci.nii.ac.jp/ncid/BN11814337
B040014,佐川・大場・安倍2005,佐川正敏・大場正善・安倍奈々子,さがわまさとし・おおばまさよし・あべななこ,2005,,賀篭沢遺跡2005年度発掘調査の成果,第19回 東北日本の旧石器文化を語る会予稿集,http://ci.nii.ac.jp/ncid/BN11814337
B040015,佐川・大場・安倍2006,佐川正敏・大場正善・安倍奈々子,さがわまさとし・おおばまさよし・あべななこ,2006,,賀篭沢遺跡発掘調査(2003～2006年度)の成果,平成18年度宮城県遺跡調査成果発表会発表要旨,http://ci.nii.ac.jp/ncid/BN1161788X
B040016,座散乱木遺跡発掘調査団2003,座散乱木遺跡発掘調査団,ざざらぎいせきはっくつちょうさだん,2003,,,宮城県岩出山町・座散乱木遺跡検証発掘調査報告書,http://id.ndl.go.jp/bib/000007696832
B040017,色麻町教育委員会2001,色麻町教育委員会,しかまちょうきょういくいいんかい,2001,,,大原Ａ遺跡　宮城県色麻町文化財調査報告書第2集,
B040018,七ヶ宿町史編纂委員会1984,七ヶ宿町史編纂委員会,しちかしゅくちょうしへんさんいいんかい,1984,,,七ヶ宿町史 歴史編,http://iss.ndl.go.jp/books/R100000001-I071927381-00
B040019,白石市史編さん委員1976,白石市史編さん委員,しろいしししへんさんいいん,1976,,,白石市史 別巻 考古資料編,http://ci.nii.ac.jp/ncid/BN01395351
B040020,鈴木・大場・須藤2003,鈴木隆・大場亜弥・須藤隆,すずきたかし・おおばあや・すとうたかし,2003,,宮城県一迫町採集の大型局部磨製石斧２例,宮城考古学第５号,http://ci.nii.ac.jp/naid/40005851415
B040021,仙台市教育委員会1985,仙台市教育委員会,せんだいしきょういくいいんかい,1985,,,山田上ノ台遺跡 －昭和59年度発掘調査報告書－　仙台市文化財調査報告書第77集,http://sitereports.nabunken.go.jp/3938
B040022,仙台市教育委員会1992,仙台市教育委員会,せんだいしきょういくいいんかい,1992,,,富沢遺跡 －第30次調査報告書第Ⅱ分冊－旧石器時代編　仙台市文化財調査報告書第160集,http://sitereports.nabunken.go.jp/3438
B040023,仙台市教育委員会1995,仙台市教育委員会,せんだいしきょういくいいんかい,1995,,,上ノ原山遺跡 －国道286号線（茂庭工区）改良工事関係発掘調査報告書－　仙台市文化財調査報告書第198集,http://sitereports.nabunken.go.jp/10109
B040024,仙台市教育委員会1996,仙台市教育委員会,せんだいしきょういくいいんかい,1996,,,野川遺跡仙台市文化財調査報告書第205集,http://sitereports.nabunken.go.jp/9344
B040025,仙台市教育委員会1997,仙台市教育委員会,せんだいしきょういくいいんかい,1997,,,相ノ原・大貝中・川添東遺跡－国道286号線(赤石工区)改良工事関係発掘調査報告書　仙台市文化財調査報告書第217集,http://sitereports.nabunken.go.jp/10187
B040026,仙台市教育委員会2003,仙台市教育委員会,せんだいしきょういくいいんかい,2003,,,山田上ノ台遺跡第３次発掘調査報告書　仙台市文化財調査報告書第265集,http://sitereports.nabunken.go.jp/10082
B040027,田尻町史編さん委員会1982,田尻町史編さん委員会,たじりちょうしへんさんいいんかい,1982,,,田尻町史 上巻,http://ci.nii.ac.jp/ncid/BN01884391
B040028,築館町教育委員会1992,築館町教育委員会,つきだてちょうきょういくいいんかい,1992,,,伊治城跡 －平成３年度発掘調査報告書－　築館町文化財調査報告書第５集,http://sitereports.nabunken.go.jp/10080
B040029,築館町教育委員会1993,築館町教育委員会,つきだてちょうきょういくいいんかい,1993,,,伊治城跡 －平成４年度発掘調査報告書－　築館町文化財調査報告書第６集,http://sitereports.nabunken.go.jp/9512
B040030,築館町教育委員会1994,築館町教育委員会,つきだてちょうきょういくいいんかい,1994,,,伊治城跡 －平成５年度発掘調査報告書－　築館町文化財調査報告書第７集,http://sitereports.nabunken.go.jp/9764
B040031,築館町教育委員会2004,築館町教育委員会,つきだてちょうきょういくいいんかい,2004,,,伊治城跡 －平成15年度：第29次発掘調査－　築館町文化財調査報告書第17集,http://sitereports.nabunken.go.jp/9503
B040032,東北学院大学佐川ゼミナール2004,東北学院大学佐川ゼミナール,とうほくがくいんだいがくさがわぜみなーる,2004,,賀篭沢遺跡2004年度発掘調査の成果,第18回 東北日本の旧石器文化を語る会予稿集,http://iss.ndl.go.jp/books/R100000001-I071927381-00
B040033,東北大学埋蔵文化財調査委員会1986,東北大学埋蔵文化財調査委員会,とうほくだいがくまいぞうぶんかざいちょうさいいんかい,1986,,,東北大学埋蔵文化財調査年報２,http://sitereports.nabunken.go.jp/10008
B040034,東北大学埋蔵文化財調査室2006,東北大学埋蔵文化財調査室,とうほくだいがくまいぞうぶんかざいちょうさしつ,2006,,仙台市 青葉山Ｃ遺跡,平成18年度宮城県遺跡調査成果発表会発表要旨,http://ci.nii.ac.jp/ncid/BN1161788X
B040035,東北歴史資料館1985,東北歴史資料館,とうほくれきししりょうかん,1985,,,江合川流域の旧石器東北歴史資料館資料集14,http://ci.nii.ac.jp/ncid/BN09699258
B040036,東北歴史資料館1994,東北歴史資料館,とうほくれきししりょうかん,1994,,Ⅰ事業報告,東北歴史資料館年報 平成５年度,http://iss.ndl.go.jp/books/R100000001-I010788931-00
B040037,名取市教育委員会2002,名取市教育委員会,なとりしきょういくいいんかい,2002,,,野田山遺跡名取市文化財調査報告書第47集,http://ci.nii.ac.jp/ncid/BA65079917
B040038,鳴子町史編纂委員会1974,鳴子町史編纂委員会,なるこちょうしへんさんいいんかい,1974,,,鳴子町史 上巻,http://iss.ndl.go.jp/books/R100000001-I058400577-00
B040039,花山村史編纂委員会1978,花山村史編纂委員会,はなやまそんしへんさんいいんかい,1978,,,花山村史,http://ci.nii.ac.jp/ncid/BN04830570
B040040,原河1997,原河英二,はらかわえいじ,1997,,宮城県仙台市青山二丁目Ｂ遺跡出土の石器について,仙台市博物館調査研究報告第17号,http://iss.ndl.go.jp/books/R000000054-I000016085-00
B040041,古川市史編さん委員会2006,古川市史編さん委員会,ふるかわししへんさんいいんかい,2006,,,古川市史第６巻 資料Ⅰ 考古,http://iss.ndl.go.jp/books/R100000001-I077636198-00
B040042,宮城県教育委員会1974,宮城県教育委員会,みやぎけんきょういくいいんかい,1974,,,西野田遺跡　東北新幹線関係遺跡調査報告書－Ⅰ－　宮城県文化財調査報告書第35集,https://sitereports.nabunken.go.jp/9823
