ID,Citation,Author (Japanease),Author (Japanease),Publication year,Publication year,Paper name,Journal/ Report name,Link 
ID,短縮表記,著者・編者,著者・編者ふりがな,発行年1,発行年2,論文名,雑誌名・報告書名,固定リンク
B290001,秋枝芳1972,秋枝芳,あきえだかおる,1972,,奈良県橿原市川西町発見の有舌尖頭器,古代学研究第63号,https://ci.nii.ac.jp/ncid/AN00092491
B290002,明日香村教育委員会1988,明日香村教育委員会,あすかむらきょういくいいんかい,1988,,,明日香村遺跡調査概報昭和62年度,https://sitereports.nabunken.go.jp/74467
B290003,安達厚三1970,安達厚三,あだちこうぞう,1970,,奈良県宇陀郡宇陀川川底発見の有茎尖頭器,古代文化第22巻第3号,https://ci.nii.ac.jp/ncid/AN00092640
B290004,網干善教1977,網干善教,あぼしよしのり,1977,,,忌部山遺跡発掘調査報告書,https://sitereports.nabunken.go.jp/73776
B290005,新井正夫・佐藤良二1981,新井正夫・佐藤良二,あらいまさお・さとうりょうじ,1981,,奈良県香芝町堂ヶ谷遺跡－二上山北麓地域における新遺跡－,旧石器考古学23,https://id.ndl.go.jp/bib/024200204
B290006,有本昭子2000,有本昭子,ありもとあきこ,2000,,竹内遺跡採集のナイフ形石器,旧石器考古学59,https://id.ndl.go.jp/bib/024200204
B290007,王寺町教育委員会2003,王寺町教育委員会,おうじちょうきょういくいいんかい,2003,,久度南遺跡　市街地再開発事業にともなう試掘調査報告書,王寺町文化財調査報告書第3集,https://sitereports.nabunken.go.jp/53615
B290008,香芝市教育委員会1993,香芝市教育委員会,かしばしきょういくいいんかい,1993,,,郡ヶ池遺跡Ⅱ（大坂山の関想定地）－中和幹線建設に伴う発掘調査概報－,https://sitereports.nabunken.go.jp/74275
B290009,香芝市教育委員会1999,香芝市教育委員会,かしばしきょういくいいんかい,1999,,桜ヶ丘第1地点遺跡－第10次発掘調査－,香芝市埋蔵文化財発掘調査概報11,https://sitereports.nabunken.go.jp/627
B290010,香芝市教育委員会2002,香芝市教育委員会,かしばしきょういくいいんかい,2002,,二上山・関屋盆地における石器製作遺跡の調査－香芝市穴虫十丈坊地区宅地造成事業に伴う埋蔵文化財発掘調査報告書－,香芝市文化財調査報告書第３集,https://sitereports.nabunken.go.jp/74250
B290011,香芝市教育委員会2004,香芝市教育委員会,かしばしきょういくいいんかい,2004,,鶴峯荘第１地点遺跡,香芝市文化財調査報告書第５集,https://sitereports.nabunken.go.jp/74251
B290012,香芝市教育委員会2006,香芝市教育委員会,かしばしきょういくいいんかい,2006,,鶴峯荘第４地点遺跡発掘調査報告書,香芝市文化財調査報告書第７集,https://sitereports.nabunken.go.jp/74252
B290013,香芝市教育委員会2007a,香芝市教育委員会,かしばしきょういくいいんかい,2007,a,平地山遺跡・サカイ遺跡－二上山麓におけるサスカイト原産地遺跡－,香芝市文化財調査報告書第８集,https://sitereports.nabunken.go.jp/53576
B290014,香芝市教育委員会2008,香芝市教育委員会,かしばしきょういくいいんかい,2008,,桜ヶ丘第１地点遺跡－第11次発掘調査報告書－,香芝市文化財調査報告書第10集,https://ci.nii.ac.jp/ncid/BA89737720
B290015,香芝町教育委員会1987,香芝町教育委員会,かしばちょうきょういくいいんかい,1987,,,昭和61年度桜ヶ丘第１地点遺跡第５次発掘調査概報,https://sitereports.nabunken.go.jp/53607
B290016,香芝町教育委員会1988,香芝町教育委員会,かしばちょうきょういくいいんかい,1988,,,昭和62年度桜ヶ丘第１地点遺跡第６次発掘調査概報,https://sitereports.nabunken.go.jp/53608
B290017,香芝町教育委員会1989a,香芝町教育委員会,かしばちょうきょういくいいんかい,1989,a,,昭和63年度鶴峯荘第３地点遺跡発掘調査概報,https://sitereports.nabunken.go.jp/53610
B290018,香芝町教育委員会1989b,香芝町教育委員会,かしばちょうきょういくいいんかい,1989,b,,瓦口森田遺跡発掘調査概報,https://sitereports.nabunken.go.jp/53609
B290019,香芝町教育委員会1989c,香芝町教育委員会,かしばちょうきょういくいいんかい,1989,c,,田尻峠－中和幹線建設事業にともなう発掘調査概報－,https://sitereports.nabunken.go.jp/53611
