ID,Citation,Author (Japanease),Author (Japanease),Publication year,Publication year,Paper name,Journal/ Report name,Link 
B300001,打田町史編さん委員会1981,打田町史編さん委員会,うちたちょうしへんさんいいんかい,1981,,,打田町史　第１巻　考古資料編　,https://ci.nii.ac.jp/ncid/BN06927254
B300002,海南市史編纂委員会1979,海南市史編纂委員会,かいなんししへんさんいいんかい,1979,,縄文時代,海南市史第3巻,https://ci.nii.ac.jp/ncid/BN03474674
B300003,羯磨正信1980,羯磨正信,かつままさのぶ,1980,,打田町埋蔵文化財の概要と分布調査,打田の歴史１,-
B300004,羯磨正信･中村貞史1970,羯磨正信･中村貞史,かつままさのぶ・なかむらただし,1970,,和歌山県出土の有舌尖頭器,古代文化22-9,https://ci.nii.ac.jp/ncid/AN00092640
B300005,関西大学考古学研究室1972,関西大学考古学研究室,かんさいだいがくこうこがくけんきゆうしつ,1972,,総綱寺谷古墳群の調査,和歌山市における古墳文化,https://sitereports.nabunken.go.jp/96206
B300006,貴志川町史編集委員会1981,貴志川町史編集委員会,きしがわちようしへんしゅういいんかい,1981,,第２章考古　先土器時代～縄文時代,貴志川町史第３巻 ,https://ci.nii.ac.jp/ncid/BN03674298
B300007,北村純治2001,北村純治,きたむらじゅんじ,2001,,和歌山県内で採集した旧石器新資料,紀伊考古学研究４,https://ndlsearch.ndl.go.jp/books/R100000002-I000007851639-i4771017
B300008,北村純治・中原正光2007,北村純治・中原正光,きたむらじゅんじ・なかはらまさみつ,2007,,和歌山市平野池採集の小型横長剥片石核,紀伊考古学研究10,https://ndlsearch.ndl.go.jp/books/R100000002-I000007851639-i4771119
B300009,吉備町教育委員会1982,吉備町教育委員会,きびちょうきょういくいいんかい,1982,,歴史的環境　野田地区遺跡出土旧石器,田殿･尾中遺跡発掘調査概要報告書,https://sitereports.nabunken.go.jp/41035
B300010,吉備町教育委員会1985,吉備町教育委員会,きびちょうきょういくいいんかい,1985,,,土生池遺跡第２次発掘調査概報,https://ci.nii.ac.jp/ncid/BA58446111
B300011,吉備町誌編さん委員会1980,吉備町誌編さん委員会,きびちょうしへんさんいいんかい,1980,,第２編考古　,吉備町誌上巻  　,https://ci.nii.ac.jp/ncid/BN03234309
B300012,粉河町史専門委員会2003,粉河町史専門委員会,こかわちょうしせんもんいいんかい,2003,,原始の粉河,粉河町史第1巻,https://ci.nii.ac.jp/ncid/BN01206233
B300013,御坊市遺跡調査会1981,御坊市遺跡調査会,ごぼうしいせきちょうさかい,1981,,不定形石器,尾ノ崎遺跡（御坊市遺跡調査会埋蔵文化財発掘調査報告1）,https://sitereports.nabunken.go.jp/41094
B300014,御坊市遺跡調査会1983,御坊市遺跡調査会,ごぼうしいせきちょうさかい,1983,,旧石器の項,東大人遺跡（御坊市埋蔵文化財発掘調査報告2）,https://sitereports.nabunken.go.jp/41059
B300015,御坊市遺跡調査会1996,御坊市遺跡調査会,ごぼうしいせきちょうさかい,1996,,祓井戸Ⅱ遺跡,祓井戸古墳群ほか埋蔵文化財調査報告書,https://sitereports.nabunken.go.jp/41076
B300016,御坊市遺跡調査会2000,御坊市遺跡調査会,ごぼうしいせきちようさかい,2000,,御坊市の旧石器集成　,御坊第２火力発電所建設に伴う埋蔵文化財発掘調査,-
B300017,御坊市教育委員会1978,御坊市教育委員会,ごぼうしきょういくいいんかい,1978,,古墳の位置と環境,秋葉山古墳発掘調査報告書,https://sitereports.nabunken.go.jp/96374
B300018,御坊市史編さん委員会1981a,御坊市史編さん委員会,ごぼうししへんさんいいんかい,1981,a,狩猟･漁撈･採集時代,御坊市史第１巻　通史編Ⅰ,https://ci.nii.ac.jp/ncid/BN01180854
B300019,御坊市史編さん委員会1981b,御坊市史編さん委員会,ごぼうししへんさんいいんかい,1981,b,考古図録解説･図面,御坊市史第３巻　史料編Ⅰ,https://ci.nii.ac.jp/ncid/BN01180854
B300020,佐藤宏之1992,佐藤宏之,さとうひろゆき,1992,,前・中期旧石器時代/後期旧石器時代前半期,日本旧石器文化の構造と進化　（柏書房）,https://ci.nii.ac.jp/ncid/BN07810525
B300021,下津町史編集委員会1974,下津町史編集委員会,しもつちょうしへんしゅういいんかい,1974,,上遺跡,下津町史　史料編上　考古編,https://ci.nii.ac.jp/ncid/BN02754733
B300022,巽三郎･柳田俊雄1978,巽三郎･柳田俊雄,たつみさぶろう・やなぎだとしお,1978,,和歌山県日高川流域出土の旧石器,古代学研究86,https://cir.nii.ac.jp/crid/1570573086619050752
B300023,中原正光1970,中原正光,なかはらまさみつ,1970,,和歌山県海南市「原野大池遺跡」発見の石器について,和歌山史学12,https://ci.nii.ac.jp/ncid/AN00257853
B300024,中原正光1975,中原正光,なかはらまさみつ,1975,,紀北の先土器文化,月刊歴史手帖3-4,https://ci.nii.ac.jp/ncid/AN00338842
B300025,中原正光1979a,中原正光,なかはらまさみつ,1979,a,和歌山県における先土器時代文化研究の現状,海南市史研究4,https://ci.nii.ac.jp/ncid/AN00170915
B300026,中原正光1979b,中原正光,なかはらまさみつ,1979,b,先土器時代の遺跡と遺物,和歌山の研究Ⅰ（清文堂）,https://ci.nii.ac.jp/ncid/BN02337179
B300027,中原正光1981,中原正光,なかはらまさみつ,1981,,和歌山県における先土器文化研究の現状（2）,海南市史研究6,https://ci.nii.ac.jp/ncid/AN00170915
B300028,中原正光1988a,中原正光,なかはらまさみつ,1988,a,日高地方の先土器時代石器群の特性,求真能道（巽三郎先生古稀記念論集）,https://ci.nii.ac.jp/ncid/BN02719379
B300029,中原正光1988b,中原正光,なかはらまさみつ,1988,b,和歌山県下における先土器時代石器の地域色,旧石器考古学36,https://cir.nii.ac.jp/crid/1390010457689288960
B300030,中原正光1994,中原正光,なかはらまさみつ,1994,,土生池遺跡,瀬戸内技法とその時代 資料編（中・四国旧石器文化談話会編） ,https://ci.nii.ac.jp/ncid/BN1228157X
