ID,Citation,Author (Japanease),Author (Japanease),Publication year,Publication year,Paper name,Journal/ Report name,Link 
ID,短縮表記,著者・編者,著者・編者ふりがな,発行年1,発行年2,論文名,雑誌名・報告書名,固定リンク
B330001,稲田孝司1986a,稲田孝司,いなだたかし,1986,a,中国地方旧石器文化の諸問題,岡山大学文学部紀要７,https://cir.nii.ac.jp/crid/1570854179464481408
B330002,稲田孝司1989,稲田孝司,いなだたかし,1989,,岡山県恩原遺跡AT直下層の石組炉と砂礫堆,日本考古学協会第55回総会研究発表要旨,https://ndlonline.ndl.go.jp/#!/detail/R300000001-I000000093535-00
B330003,稲田孝司1990,稲田孝司,いなだたかし,1990,,日本海南西沿岸地域の旧石器文化,第四紀研究29-3,https://cir.nii.ac.jp/crid/1390001206497206528
B330004,稲田孝司1996,稲田孝司,いなだたかし,1996,,,恩原２遺跡（恩原遺跡発掘調査団）,https://sitereports.nabunken.go.jp/89082
B330005,稲田孝司2002,稲田孝司,いなだたかし,2002,,恩原1遺跡の概要,中国山地東部の旧石器文化－恩原１遺跡を中心として－,-
B330006,牛窓町史編纂委員会1997,牛窓町史編纂委員会,うしまどちょうしへんさんいいんかい,1997,,,牛窓町史資料編Ⅱ,https://ci.nii.ac.jp/ncid/BN12693282
B330007,岡田博・小嶋善邦・米田克彦2002,岡田博・小嶋善邦・米田克彦,おかだひろし・こじまよしくに・よねだかつひこ,2002,,岡山県久米町宮尾遺跡出土のナイフ形石器について,環瀬戸内の考古学─平井勝氏追悼論文集─上巻,https://ndlonline.ndl.go.jp/#!/detail/R300000001-I000004001694-00
B330008,岡山県長船町教育委員会1985,岡山県長船町教育委員会,おかやまけんおさふねちょうきょういくいいんかい,1985,,,西谷遺跡,https://sitereports.nabunken.go.jp/12577
B330009,岡山県長船町教育委員会1997,岡山県長船町教育委員会,おかやまけんおさふねちょうきょういくいいんかい,1997,,,服部廃寺,https://sitereports.nabunken.go.jp/12682
