ID,Citation,Author (Japanease),Author (Japanease),Publication year,Publication year,Paper name,Journal/ Report name,Link 
B360001,,天羽利夫,あもうとしお,1970,,徳島県下のナイフ形石器,徳島県立博物館紀要第1号（徳島県立博物館）,
B360002,,天羽利夫,あもうとしお,1976,,徳島の遺跡,日本の旧石器文化3（雄山閣）,
B360003,,天羽利夫・立花博,あもうとしお・たちばなひろし,1969,,徳島県廿枝遺跡採集の石器,古代学第16巻1号（財団法人古代学協会）,
B360004,,氏家敏之,うじけとしゆき,2003,,吉野川北岸の先土器時代遺跡（1）,青藍第1号（考古フォーラム蔵本）,https://ndlsearch.ndl.go.jp/books/R100000002-I031461815
B360005,,氏家敏之,うじけとしゆき,2004,,吉野川北岸の先土器時代遺跡（2）,青藍第2号（考古フォーラム蔵本）,https://ndlsearch.ndl.go.jp/books/R100000002-I031461815
B360006,,氏家敏之,うじけとしゆき,2006,,吉野川北岸の先土器時代遺跡（3）,青藍第3号（考古フォーラム蔵本）,https://ndlsearch.ndl.go.jp/books/R100000002-I031461815
B360007,,川井豊吉・高橋正則,かわいとよきち・たかはしまさのり,1983,,阿波郡栩ヶ窪遺跡出土の旧石器,徳島考古創刊号（徳島考古学研究グループ）,
B360008,,絹川一徳,きぬがわかずのり,1989,,徳島県土柱周辺の旧石器,旧石器考古学39（旧石器文化談話会）,http://ci.nii.ac.jp/ncid/AN00159402
B360009,,高島芳弘,たかしまよしひろ,1995,,徳島県那賀川流域における縄文遺跡の分布とその遺物,徳島県立博物館報告第5号（徳島県立博物館）,
B360010,,高橋正則,たかはしまさのり,1983,,徳島県土成町椎ヶ丸遺跡の旧石器,旧石器考古学27（旧石器文化談話会）,http://ci.nii.ac.jp/ncid/AN00159402
B360011,,高橋正則,たかはしまさのり,1985,,徳島県宮川内谷川流域の遺跡,旧石器考古学31（旧石器文化談話会）,http://ci.nii.ac.jp/ncid/AN00159402
B360012,,高橋正則・野々村拓也,たかはしまさのり・ののむらたくや,1983,,小鳴門海峡海底下出土の石器,旧石器考古学26（旧石器文化談話会）,http://ci.nii.ac.jp/ncid/AN00159402
B360013,,徳島県教育委員会,とくしまけんきょういくいいんかい,1989,,,土成前田遺跡,https://sitereports.nabunken.go.jp/99643
B360014,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,1993,a,青谷遺跡,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告1,https://sitereports.nabunken.go.jp/14196
B360015,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,1993,b,赤坂遺跡（Ⅰ）,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告1,https://sitereports.nabunken.go.jp/14196
B360016,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,1993,c,赤坂遺跡（Ⅱ）,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告1,https://sitereports.nabunken.go.jp/14196
B360017,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,1993,d,金蔵～上井遺跡,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告1,https://sitereports.nabunken.go.jp/14196
B360018,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,1994,a,前田遺跡,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告2,https://sitereports.nabunken.go.jp/13652
B360019,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,1994,b,桜ノ岡遺跡（Ⅰ）,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告3,https://sitereports.nabunken.go.jp/14114
B360020,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,1994,c,日吉谷遺跡,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告5,https://sitereports.nabunken.go.jp/14256
B360021,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,1994,d,椎ヶ丸～芝生遺跡,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告6,https://sitereports.nabunken.go.jp/13622
B360022,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,1995,a,上喜来蛭子～中佐古遺跡,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告7,https://sitereports.nabunken.go.jp/14226
B360023,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,1995,b,柿谷遺跡,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告10,https://sitereports.nabunken.go.jp/13451
B360024,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,1995,c,,建設省名東町宿舎建設に伴う埋蔵文化財発掘調査報告,https://sitereports.nabunken.go.jp/30027
B360025,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,2000,,,阿波池田公共職業安定所新築工事に伴う埋蔵文化財調査報告書,https://sitereports.nabunken.go.jp/29956
B360026,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,2001,a,東段地区,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告17,https://sitereports.nabunken.go.jp/29976
B360027,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,2001,b,吉水遺跡,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告20,https://sitereports.nabunken.go.jp/29973
B360028,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,2001,c,佐城遺跡（Ⅱ）,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告21,https://sitereports.nabunken.go.jp/29974
B360029,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,2001,d,滝ノ宮遺跡,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告21,https://sitereports.nabunken.go.jp/29974
B360030,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,2001,e,鶴射遺跡,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告21,https://sitereports.nabunken.go.jp/29974
B360031,,（財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,2008,,田井遺跡,一般国道55号日和佐道路建設に伴う発掘調査報告　,https://sitereports.nabunken.go.jp/13367
B360032,,森浩一,もりこういち,1973,,,土取遺跡調査報告（徳島県教育委員会・三好町教育委員会）,https://sitereports.nabunken.go.jp/99706
B360033,,（公財）徳島県埋蔵文化財センター,とくしまけんまいぞうぶんかざいせんたー,2016,,深瀬遺跡,那賀川河川改修事業（深瀬堤防）に伴う埋蔵文化財発掘調査報告書,https://sitereports.nabunken.go.jp/80989
B360034,,氏家敏之,うじけとしゆき,2021,,那賀川流域の先土器時代遺跡の様相,第38回中・四国旧石器文化談話会「徳島県南部の旧石器遺跡を考える」発表要旨・資料集,
