ID,Citation,Author (Japanease),Author (Japanease),Publication year,Publication year,Paper name,Journal/ Report name,Link 
B380001,,相原浩二,あいばらこうじ,2005,,,束本遺跡６次調査地　桑原遺跡２次調査地　桑原遺跡４次調査地（(財)松山市生涯学習振興財団埋蔵文化財センター）,https://sitereports.nabunken.go.jp/12263
B380002,,阿部義平,あべぎへい,1993,,上黒岩の線刻礫,考古学ジャーナル358,
B380003,,池尻伸吾,いけじりしんご,2001,,近況報告─愛媛県─,第18回中・四国旧石器文化談話会発表資料,
B380004,,池尻伸吾,いけじりしんご,2003,,愛媛県越智郡岩城村津波島採集の石器,紀要愛媛3,https://sitereports.nabunken.go.jp/100311
B380005,,池尻伸吾,いけじりしんご,2006,,中四国地方におけるナイフ形石器文化後半期の様相,九州旧石器第10号（九州旧石器文化研究会）,
B380006,,池田学・田辺昭三・西尾幸則・松村淳,いけだまなぶ・たなべしょうぞう・にしおゆきのり・まつむらじゅん,1981,,,東山鳶が森古墳群調査報告書,https://sitereports.nabunken.go.jp/11529
B380007,,犬飼徹夫,いぬかいてつお,1982,,池の岡遺跡Ａ地点で新発見の遺物について,遺跡22,
B380008,,犬飼徹夫・長井数秋,いぬかいてつお・ながいかずあき,1986,,二　縄文時代,愛媛県史　資料編　考古,
B380009,,猪石広明,いのいしひろあき,1989,,愛媛県一本松町大駄場遺跡の先土器時代遺物について,愛媛考古学11,
B380010,,井原忠昭・野口光比古,いはらただあき・のぐちみつひこ,1980,,叶浦（B）遺跡,大三島・伯方島本四連絡道路（一般国道317号）埋蔵文化財調査報告書（Ⅱ）,https://sitereports.nabunken.go.jp/100380
B380011,,今泉ゆかり・岡美奈子・三好裕之,いまいずみゆかり・おかみなこ・みよしひろゆき,2004,,,善応寺畦地遺跡・大相院遺跡・別府遺跡─一般県道湯山高縄北条線道路改良工事に伴う埋蔵文化財調査報告書─,https://sitereports.nabunken.go.jp/29804
