ID,Site group (Japanese),Site name (Japanese),Locality name (Japanese),Cultural layer,Site group,Site name ,Locality name,Adress (Japanese),North Latitude,East Longitude,Geodetic system,Altitude (Tokyo Peil),Knife shaped tool,Trapeze（Trapezoid）,Axe shaped tool,Tangged point on blade,Triangulared pointed tool,Lanceolate shaped point,Biface,Micro blade,Mikoshiba type axe shaped tool,Tangged point,End scraper/Scraper,Burin,Whetstone,Hammer stone,Anvil stone,Pebble tool,Others (Japanease),Earthenware from the Incipient Jomon,Lithic cluster,Pebble cluster,Charcoal fragment concentration,Other features,Remark,Citation,CitationID1,CitationID2,Citation ID3,Citation ID4,Citation ID5,CitationID6,Research type,Creation date,Created by,Update date,Updated by,Coordinate check
ID,遺跡群名,遺跡名,地点・地区名,文化層・石器文化,遺跡群名読み方,遺跡名読み方,地点・地区名読み方,所在地,緯度,経度,測地系,標高,ナイフ形石器,台形（様）石器,斧形石器,剥片尖頭器,角錐状石器・三稜尖頭器,槍先形尖頭器,両面調整石器,細石刃・細石核等,神子柴型石斧,有茎（舌）尖頭器,掻器・削器,彫器,砥石,敲石,台石,礫器,その他の石器,草創期土器,ブロック･ユニット,礫群・配石,炭化物集中,その他の遺構,特記事項,文献,文献ID1,文献ID2,文献ID3,文献ID4,文献ID5,文献ID6,調査歴,作成年月日,作成者,更新年月日,更新者,位置修正
40001,,川添東遺跡,,,,Kawazoehigashi,,仙台市太白区茂庭字川添東,38.211843,140.76718,世界,70,○,,,,,○,,,,,,,,,,,石刃,,○,,,,,仙台市教育委員会1997,B040025,,,,,,発掘調査,20071130,小野章太郎,20170926,小野章太郎,1
40002,,山田上ノ台遺跡,,,,Yamadauenodai,,仙台市太白区山田上ノ台町,38.218635,140.83248,世界,54,○,,,,,,,,,,,,,,,○,石刃,,○,,○,,第３次調査で後期旧石器時代遺跡であることを再確認。,仙台市教育委員会1985/仙台市教育委員会2003,B040021,B040026,,,,,発掘調査,20071130,小野章太郎,20170926,小野章太郎,1
40003,,青葉山A遺跡,,,,Aobayama A,,仙台市青葉区荒巻字青葉,38.2484,140.82372,世界,198,○,,,,,,,,,,○,,,,,,石刃,,,,,,,東北大学埋蔵文化財調査委員会1986,B040033,,,,,,採集資料,20071203,小野章太郎,20170927,小野章太郎,1
40004,,富沢遺跡,,,,Tomizawa,,仙台市太白区富沢三、四丁目ほか,38.222802,140.87256,世界,8,○,,,,,,,,,,,,,○,,,石刃,,○,,○,ピット状遺構,多数の樹木、葉・種などの植物遺体、昆虫遺体・動物のフンなどが出土。,仙台市教育委員会1992,B040022,,,,,,発掘調査,20071130,小野章太郎,20180314,小野章太郎,1
40005,,上ノ原山遺跡,Ⅰ区,,,Uenoharayama,Loc1,仙台市太白区茂庭字上ノ原山,38.217051,140.79916,世界,88,,○,,,,,,,,,,,,,,,剥片ほか,,,,,,,仙台市教育委員会1995,B040023,,,,,,発掘調査,20071203,小野章太郎,20170926,小野章太郎,1
40006,,青葉山Ｃ遺跡,,,,Aobayama C,,仙台市青葉区荒巻字青葉,38.255573,140.82726,世界,150,,,○,,,,,,,,,,,,,,（局部磨製石斧）/剥片,,,,,,局部磨製石斧は表面採集,東北大学埋蔵文化財調査委員会1986・2006,B040033,B040034,,,,,発掘調査,20071203,小野章太郎,20170927,小野章太郎,1
40007,,青葉山Ｄ遺跡,,,,Aobayama D,,仙台市青葉区荒巻字青葉,38.245524,140.82627,世界,190,,,,,,,○,,,,,,,,,,,,,,,,,東北大学埋蔵文化財調査委員会1986,B040033,,,,,,採集資料,20071203,小野章太郎,20170927,小野章太郎,1
40008,,青山二丁目Ｂ遺跡,, ,,Aoyama-nichome B,,仙台市太白区青山二丁目,38.237654,140.85954,世界,80,,,,,,,,,,,,,,,,,石刃,,,,,,,原河英二1997　,B040040,,,,,,採集資料,20071130,小野章太郎,20180319,小野章太郎,1
40009,,野川遺跡,,,,Nogawa,,仙台市熊ヶ根字町,38.29555,140.69149,世界,187,,,,,,,○,,,,○,,,,,,尖頭器/石鏃/へら状石器など,多縄文系,○,,,土坑２,土坑から石器が一括出土,仙台市教育委員会1996,B040024,,,,,,発掘調査,20071203,佐久間光平,20170926,小野章太郎,1
