ID,Site group (Japanese),Site name (Japanese),Locality name (Japanese),Cultural layer,Site group,Site name ,Locality name,Adress (Japanese),North Latitude,East Longitude,Geodetic system,Altitude (Tokyo Peil),Knife shaped tool,Trapeze（Trapezoid）,Axe shaped tool,Tangged point on blade,Triangulared pointed tool,Lanceolate shaped point,Biface,Micro blade,Mikoshiba type axe shaped tool,Tangged point,End scraper/Scraper,Burin,Whetstone,Hammer stone,Anvil stone,Pebble tool,Others (Japanease),Earthenware from the Incipient Jomon,Lithic cluster,Pebble cluster,Charcoal fragment concentration,Other features,Remark,Citation,CitationID1,CitationID2,Citation ID3,Citation ID4,Citation ID5,CitationID6,Research type,Creation date,Created by,Update date,Updated by,Coordinate check
ID,遺跡群名,遺跡名,地点・地区名,文化層・石器文化,遺跡群名読み方,遺跡名読み方,地点・地区名読み方,所在地,緯度,経度,測地系,標高,ナイフ形石器,台形（様）石器,斧形石器,剥片尖頭器,角錐状石器・三稜尖頭器,槍先形尖頭器,両面調整石器,細石刃・細石核等,神子柴型石斧,有茎（舌）尖頭器,掻器・削器,彫器,砥石,叩石,台石,礫器,その他の石器,草創期土器,ブロック･ユニット,礫群・配石,炭化物集中,その他の遺構,特記事項,文献,文献ID1,文献ID2,文献ID3,文献ID4,文献ID5,文献ID6,調査歴,作成年月日,作成者,更新年月日,更新者,位置修正
290001,,法華寺南遺跡,Bトレンチ,,,Hokkejiminami,B trench,奈良市法華寺町,34.688278,135.805139,世界,60,○,,,,,,,,,,,,,,,,石核,,○,,,,AT下位で約800点の石器群/平城京左-2-2-14(研),奈良文化財研究所2003a,B290077,,,,,,発掘調査,20051020,光石鳴巳,20170216,光石鳴巳,1
290002,,平城京,左京二条四坊二坪,,,Heijokyo,Sakyo 2jou 4bou 2tsubo,奈良市法蓮町,34.69023,135.812765,世界,62,○,,,,,,,,,,,,,,,,,,,,,,平城京第157次(市),奈良市教育委員会1989/松浦五輪美1996,B290123,B290086,,,,,発掘調査,20051020,光石鳴巳,20180208,松浦五輪美・光石鳴巳,1
290003,,平城京,左京四条四坊十六坪,,,Heijokyo,Sakyo 4jou 4bou 16tsubo,奈良市三条本町,34.68114,135.817298,世界,65,,,,,,,,,,,,,,,,,石核,,,,,,平城京第218次(市),奈良市教育委員会1991/松浦五輪美1996,B290123,B290086,,,,,発掘調査,20051020,光石鳴巳,20171208,光石鳴巳,1
290004,,平城京,左京四条四坊十二・十三坪,,,Heijokyo,Sakyo 4jou 4bou 12/13tsubo,奈良市三条本町,34.678056,135.816417,世界,65,,,,,,,,,,○,,,,,,,,,,,,,平城京第331次(市),奈良市教育委員会1997a/久保邦江2002,B290128,B290026,,,,,発掘調査,20051020,光石鳴巳,20171206,光石鳴巳,1
290005,,平城京,左京四条五坊三坪,,,Heijokyo,Sakyo 4jou 5bou 3tsubo,奈良市三条本町,34.678843,135.818776,世界,65,,,,,,,,,,○,,,,,,,,,,,,,平城京第353-2次(市),奈良市教育委員会1997b,B290128,,,,,,発掘調査,20051020,光石鳴巳,20171208,光石鳴巳,1
290006,,平城京,左京四条四坊十五坪,,,Heijokyo,Sakyo 4jou 4bou 15tsubo,奈良市三条宮前町,34.680556,135.816694,世界,63,,,,,,,,,,,,,,,,,翼状剥片,,,,,,平城京第234次(市),奈良市教育委員会1992b/松浦五輪美1996,B290125,B290086,,,,,発掘調査,20051020,光石鳴巳,20171206,光石鳴巳,1
290007,,平城京,左京五条五坊九坪,,,Heijokyo,Sakyo 5jou 5bou 6tsubo,奈良市大森町,34.676629,135.820986,世界,68,,,,,,,,,,○,,,,,,,石核,,,,,,平城京第302次(市),奈良市教育委員会1995/松浦五輪美1996,B290127,B290086,,,,,発掘調査,20051020,光石鳴巳,20180427,松浦五輪美・光石鳴巳,1
290008,,平城京,左京三条二坊一坪,,,Heijokyo,Sakyo 3jou 2bou 1tsubo,奈良市二条大路南,34.685194,135.801361,世界,60,,,,,,,,,,,,,,,,,石核,,,,,,平城第186次西(研)6AFI・SG58,奈良国立文化財研究所1995,B290071,,,,,,発掘調査,20051020,光石鳴巳,20170222,光石鳴巳,1
290009,,平城宮,東院地区,,,Heijokyu,Toin,奈良市佐紀町,34.689556,135.800806,世界,64,○,,,,,,,,,,,,,,,,,,,,,,平城第293-10次(研)6ALS・CQ22,奈良文化財研究所2003a,B290077,,,,,,発掘調査,20051020,光石鳴巳,20170223,光石鳴巳,1
290010,,平城宮,東区朝堂院（平城265次）,,,Heijokyu,Higashiku Chodouin,奈良市佐紀町,34.689056,135.79775,世界,64,○,,,,,,,,,,,,,,,,,,,,,,平城第265次(研)6AAW・KT33,奈良文化財研究所2003a,B290077,,,,,,発掘調査,20051020,光石鳴巳,20170223,光石鳴巳,1
290011,,平城京,右京一条二坊十四坪,,,Heijokyo,Ukyo 1jou 2bou 14tsubo,奈良市西大寺栄町,34.693889,135.783917,世界,71,○,,,,,,,,,,,,,,,,,,,,,,平城京第207次(市),奈良市教育委員会1991/松浦五輪美1996,B290124,B290086,,,,,発掘調査,20051020,光石鳴巳,20171205,光石鳴巳,1
290012,,菅原東遺跡,,,,Sugaharahigashi,,奈良市横領町字高木,34.684736,135.783152,世界,80,,,,,,,,,,○,,,,,,,翼状剥片/RF,,,,,,平城京第200次(市)/平城京右京三条二坊十五坪,奈良市教育委員会1992a/松浦五輪美1996,B290125,B290086,,,,,発掘調査,20051020,光石鳴巳,20180427,松浦五輪美・光石鳴巳,1
290013,,平城京,左京七条一坊十六坪,,,Heijokyo,Sakyo 7jou 1bou 16tsubo,奈良市八条町,34.667,135.800167,世界,55,,,,,○,,,,,,,,,,,,,,,,,,平城第252次(研)6AHH・HQ10,奈良国立文化財研究所1997,B290072,,,,,,発掘調査,20051020,光石鳴巳,20170222,光石鳴巳,1
290014,,柳茶屋遺跡,,,,Yanagichaya,,奈良市高樋町,34.635,135.849556,世界,100,○,,,,,,,,,,,,,,,,,,,,,,,奈良県立橿原考古学研究所2003c,B290063,,,,,,発掘調査,20051020,光石鳴巳,20170224,光石鳴巳,1
290015,,南紀寺遺跡,,,,Minamikidera,,奈良市南紀寺,34.669306,135.839444,世界,105,,,,,,,,,,○,,,,,,,,,,,,,,奈良市教育委員会1995/松浦五輪美1996,B290127,B290086,,,,,発掘調査,20051020,光石鳴巳,20171206,光石鳴巳,1
290016,,水間遺跡,Ｄ発掘区（河川３）,,,Mima,,奈良市水間町,34.669364,135.94657,世界,460,,,,,,,,,,○,,,○,,,,,,,,,,,奈良市教育委員会2002,B290074,,,,,,発掘調査,20051020,光石鳴巳,20171214,光石鳴巳,1
290017,,別所下ノ前遺跡,,,,Besshoshimonomae,,奈良市別所町,34.660072,135.941327,世界,475,,,,,○,,,,,,,,,,,,,,,,,,角錐状石器は黒曜石製（隠岐久美群）,奈良市教育委員会2007,B290075,,,,,,発掘調査,20081209,光石鳴巳,20171130,光石鳴巳,1
290018,,ゼニヤクボ遺跡,８次調査,,,Zeniyakubo,8th,奈良市藺生町 ,34.591921,135.941988,世界,485,,,,,,,,,,○,,,,,,,,,,,,,旧・山辺郡都祁村,奈良市教育委員会2008,B290076,,,,,,発掘調査,20051020,光石鳴巳,20170214,光石鳴巳,1
290019,,池田遺跡,,,,Ikeda,,大和高田市池田,34.519575,135.732222,世界,59,○,,,,○,○,,,,○,,,○,,,,,,,,,,埋没河道に後世の遺物と混在,大和高田市教育委員会2001,B290100,,,,,,発掘調査,20051020,光石鳴巳,20170426,光石鳴巳,1
290020,,岡崎遺跡,,,,Okazaki,,大和高田市市場,34.515472,135.73175,世界,62,○,,,,,,,,,,,,,○,,,石核,,○,,,,180点あまりの石器群,前澤郁浩2002,B290082,,,,,,発掘調査,20051020,光石鳴巳,20170213,光石鳴巳,1
290021,,礒野北遺跡,,,,Isonokita,,大和高田市礒野,34.5105,135.737417,世界,65,,,,,,,,,,○,,,,,,,,,,,,,,大和高田市教育委員会1996/光石鳴巳2001,B290133,B290094,,,,,発掘調査,20051020,光石鳴巳,20171214,光石鳴巳,1
290022,,別對道端遺跡,1次調査,,,Bettsuimichibata,,大和郡山市額田部北町,34.609944,135.771389,世界,44,,,,,,,,,,,,,,,,,石核,,,,,,現行の『奈良県遺跡地図』では別對遺跡,奈良県立橿原考古学研究所2003d,B290064,,,,,,発掘調査,20051020,光石鳴巳,20170315,光石鳴巳,1
290023,,慈光院裏山遺跡,,,,Jikouinurayama,,大和郡山市小泉町慈光院山,34.632694,135.757417,世界,60,,,,,,,,,,○,,,,,,,,,,,,,位置の詳細は不明/現行の『奈良県遺跡地図』では小泉遺跡,光石鳴巳2005b,B290096,,,,,,発掘調査,20051020,光石鳴巳,20171226,光石鳴巳,1
290024,,別所裏山遺跡,,,,Besshourayama,,天理市別所町字石川,34.610417,135.840389,世界,97,○,,,,,,,,,,,,,,,,,,,,,,,埋蔵文化財天理教調査団1988,B290081,,,,,,発掘調査,20051020,光石鳴巳,20171128,光石鳴巳,1
290025,,布留遺跡,豊田地区（FK24a10区）,,,Furu,Toyoda,天理市豊田町字ケヤキ,34.605694,135.8445,世界,78,○,,,,,,,,,,,,,,,,,,,,,,,天理市教育委員会1979,B290039,,,,,,発掘調査,20051020,光石鳴巳,20171209,光石鳴巳,1
290026,,布留遺跡,杣之内（樋之下・ドウドウ）地区,,,Furu,Somanouchi(Hinoshita-Doudou),天理市杣之内町,34.597806,135.846333,世界,70,○,,,,,,,,,,,,,,,,,,,,,,,島田政則・北村博義1990/埋蔵文化財天理教調査団2010/2012,B290032,B290135,B290136,,,,発掘調査,20051020,光石鳴巳,20171208,光石鳴巳,1
