Prefecture (Japanease),Prefecture,ID,Site group (Japanese),Site name (Japanese),Locality name (Japanese),Cultural layer,Site group,Site name ,Locality name,Adress (Japanese),North Latitude,East Longitude,Geodetic system,Altitude (Tokyo Peil),Knife shaped tool,Trapeze（Trapezoid）,Axe shaped tool,Tangged point on blade,Triangulared pointed tool,Lanceolate shaped point,Biface,Micro blade,Mikoshiba type axe shaped tool,Tangged point,End scraper/Scraper,Burin,Whetstone,Hammer stone,Anvil stone,Pebble tool,Others(Japanease）,Earthenware from the Incipient Jomon,Lithic cluster,Pebble cluster,Charcoal fragment concentration,Other features,Remark,Citation,Research type,Creation date,Created by,Update date,Updated by,,,,,,,,
和歌山,Wakayama,300001,,平ノ上池遺跡,,,,Hiranokami-ike,,和歌山市西庄,34.266425,135.113,世界,25,○,,,,,,,○,,○,,,,,,,,,,,,,,北村純治2001/2012/前田敬彦2011,B300007,B300054,B300063,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300002,,西庄Ⅱ遺跡,,,,Nishinosho II,,和歌山市西庄,34.263889,135.114444,世界,6,○,,,,,,,△,,,,,,,,,,,,,,,位置の詳細不明,和歌山県文化財研究会1978/和歌山市史編纂委員会1991,B300047,B300053,,,,,,20050930,中原正光,,,-,
和歌山,Wakayama,300003,,鳴滝遺跡,B地点,,,Narutaki,Loc.B,和歌山市善明寺,34.267431,135.185572,世界,30,○,,,,,,,,,,△,,,,,,,,,,,,,和歌山県教育委員会1983/和歌山県文化財研究会1984,B300042,B300066,,,,,発掘調査/採集資料,20050930,中原正光,20220701,光石鳴巳,1,
和歌山,Wakayama,300004,,湯谷池遺跡,,,,Yudani-ike,,和歌山市府中,34.274722,135.224722,世界,57,,,,,,,,,,○,,,,,,,,,,,,,位置の詳細不明,和歌山市立博物館2010,B300065,,,,,,採集資料,20050930,中原正光,20221212,中原正光,-,
和歌山,Wakayama,300005,,平野池遺跡,,,,Hirano-ike,,和歌山市府中,34.274556,135.230875,世界,63,○,,,,,,,,,,,,,,,,小型横長剥片石核,,,,,,,北村純治・中原正光2007/北村純治2012,B300008,B300054,,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300006,,平野池南方丘陵遺跡,,,,Hirano-ike Southern Hills,,和歌山市府中,34.272028,135.230542,世界,61.6,○,,,,,,,,,,,,,,,,,,,,,,,北村純治2001/2012,B300007,B300054,,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300007,,弘西遺跡,第２次調査,,,Hironishi,,和歌山市弘西,34.271944,135.239244,世界,30,○,,,,,○,,,,,,,,,,,,,,,,,,（財）和歌山県文化財センター1999/2005,B300050,B300051,,,,,発掘調査,20050930,中原正光,20220705,光石鳴巳,1,
和歌山,Wakayama,300008,,北野新池遺跡,,,,Kitano shin-ike,,和歌山市北野,34.2725,135.2475,世界,30,○,,,,,,,,,,,,,,,,,,,,,,,新聞記事（ニュース和歌山1999.2.2）,-,,,,,,採集資料,20050930,中原正光,20221212,中原正光,-,
和歌山,Wakayama,300009,,今福尖頭器出土地,,,,Imafuku,,和歌山市今福2丁目,34.211128,135.166394,世界,7,,,,,,△,,,,,,,,,,,,,,,,,,和歌山県立紀伊風土記の丘管理事務所1986/前田敬彦2011,B300052,B300063,,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300010,,総綱寺谷遺跡,,,,Sokojidani,,和歌山市森小手穂北谷,34.221278,135.225403,世界,36.2,○,,,,,,,,,,,,,,,,,,,,,,,関西大学考古学研究室1972/山口卓也1981,B300005,B300037,,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300011,,符ノ谷池遺跡,,,,Funotan-iike,,和歌山市冬野,34.181222,135.204569,世界,17,○,,,,,,,,,△,,,,,,,,,,,,,,北村純治2001/2012/前田敬彦2011,B300007,B300054,B300063,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300012,,比丘尼橋付近遺跡,,,,Bikunibashi fukin,,和歌山市本渡,34.175556,135.218889,世界,5,,,,,,,,,,○,,,,,,,,,,,,,位置の詳細不明,海南市史編纂委員会1979/中原正光1979a/和歌山市立博物館2010,B300002,B300025,B300065,,,,採集資料,20050930,中原正光,20221212,中原正光,-,
和歌山,Wakayama,300013,,青木谷池遺跡,,,,Aokidani-ike,,和歌山市境原,34.181556,135.247528,世界,27.9,○,,,,,,,,,,,,,,,,,,,,,,,北村純治2001,B300007,,,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300014,,山東大池遺跡,,,,Sando o-ike,,和歌山市永山・紀の川市貴志川町長山,34.20275,135.282333,世界,60.6,○,,,,○,○,,△,,△,△,,,△,,,,,,,,,,山口卓也1981/1982/中原正光1975/2019/和歌山市史編纂委員会1991/和歌山市文化スポーツ振興財団2018,B300037,B300038,B300060,B300053,B300064,B300057,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300015,,多田大池遺跡,,,,Ota o-ike,,海南市多田,34.179306,135.243833,世界,29,○,△,,,,,,,,,,,,,,,,,,,,,チャート多用の石器群,北村純治2001/2012/中原正光2022,B300007,B300054,B300062,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300016,,鰹田池遺跡,,,,Katsuoda-ike,,海南市小野田,34.161708,135.24325,世界,38,,,,,,△,,,,,,,,,,,,,,,,,,海南市史編纂委員会1979/和歌山市立博物館2010/北村純治2019,B300002,B300065,B300055,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300017,,小野田東村遺跡,,,,Onodahigashimura,,海南市小野田,34.172042,135.258708,世界,41.1,,,,,,,,,,○,,,,,,,,,,,,,,海南市史編纂委員会1979/和歌山市立博物館2010,B300002,B300065,,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300018,,北野上公民館裏遺跡,,,,Kitanokami kominkan ura,,海南市原野,34.184333,135.297667,世界,49,,,,,,,,,,,,,,,,,石核？,,,,,,黄褐色粘質土中から出土,海南市史編纂委員会1979,B300002,,,,,,採集資料,20050930,中原正光,20220709,光石鳴巳,1,
和歌山,Wakayama,300019,,原野大池遺跡,,,,Harano o-ike,,海南市原野,34.182111,135.302444,世界,56,,,,,,,,,,○,,,,,,,,,,,,,,中原正光1970/海南市史編纂委員会1979/和歌山市立博物館2010,B300023,B300002,B300065,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300020,,馬の谷遺跡,,,,Umanotani,,海南市下津町上,34.107222,135.1625,世界,25,,,,,,,,,,○,△,,,,,,,,,,,,位置の詳細不明,羯磨正信・中村貞史1970/下津町史編集委員会1974/和歌山市立博物館2010,B300004,B300021,B300065,,,,採集資料,20050930,中原正光,20221212,中原正光,-,
和歌山,Wakayama,300021,,樫河池遺跡,A地点,,,Kashiko-ike,Loc.A,海草郡紀美野町動木,34.174167,135.305792,世界,81,,,,,,,,,,○,,,,,,,,,,,,,,野上町誌編さん委員会1985/和歌山市立博物館2010,B300035,,https://cir.nii.ac.jp/crid/1130000795558304256,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300022,,福琳寺西遺跡,,,,Fukurinji nishi,,紀の川市豊田,34.285097,135.355542,世界,79.2,,,,,,,,,,△,,,,,,,,,,,,,,打田町史編さん委員会1981/和歌山県教育委員会1980/羯磨正信1980,B300001,B300041,B300003,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300023,,粟島遺跡,,,,Awashima,,紀の川市粟島東大井,34.271111,135.364444,世界,50,△,,,,,,,,,,,,,,,,横長剥片/同石核,,,,,,位置の詳細不明/黄褐色シルト質土最上面から出土,藤井保夫1992,B300036,,,,,,発掘調査,20050930,中原正光,,,-,
和歌山,Wakayama,300024,,上野名草遺跡,,,,Uenonagusa,,紀の川市上野,34.263111,135.363361,世界,41,,,,,,○,,,,,,,,,,,,,,,,,粘土層中より出土,羯磨正信1980/打田町史編さん委員会1981/和歌山市立博物館2010,B300003,B300001,B300065,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300025,,上芝遺跡,,,,Ueshiba,,紀の川市上芝,34.256667,135.369444,世界,35,,,,,,,,,,△,,,,,,,,,,,,,位置の詳細不明,打田町史編さん委員会1981/和歌山市立博物館2010,B300001,B300065,,,,,採集資料,20050930,中原正光,20221212,中原正光,-,
和歌山,Wakayama,300026,,堂坂遺跡,Aトレンチ,,,Dosaka,Trench A,紀の川市竹房,34.251222,135.377625,世界,39,○,,,,△,,,△,,△,,,,,,,,,,,,,角錐？細石刃核？はCトレンチ、有茎尖頭器？はトレンチ不明,打田町史編さん委員会1981/北村純治2001/2012,B300001,B300007,B300054,,,,発掘調査/採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300027,,荒見中筋遺跡,,,,Araminakasuji,,紀の川市荒見,34.26,135.416389,世界,40,,,,,,,,,,○,△,,,,,,,,,,,,,羯磨正信・中村貞史1970/粉河町史専門委員会2003/和歌山市立博物館2010,B300004,B300012,B300065,,,,採集資料,20050930,中原正光,,,-,
和歌山,Wakayama,300028,,猪垣遺跡,,,,Inokake,,紀の川市猪垣,34.283472,135.396458,世界,85,○,,,,,,,,,,,,,,,,,,,,,,,和歌山県教育委員会1978/粉河町史専門委員会2003,B300040,B300012,,,,,採集資料,20050930,中原正光,20220706,光石鳴巳,1,
和歌山,Wakayama,300029,,尺谷池遺跡,,,,Shakutani-ike,,紀の川市貴志川町長山,34.207764,135.283111,世界,65,○,,,,,,,,,,△,,,,,,,,,,,,,中原正光1975/貴志川町史編集委員会1981/山口卓也1981/北村純治2001,B300024,B300006,B300037,B300007,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300030,,平池遺跡,,,,Hiraike,,紀の川市貴志川町長山・神戸,34.211667,135.301944,世界,50,○,,,,,,,○,,,△,,,,,,,,,,,,,貴志川町史編集委員会1981/中原正光2003a/1981/北村純治2001/橘昌信・多田仁2013,B300006,B300031,B300027,B300007,B300067,,採集資料,20050930,中原正光,20221212,中原正光,-,
和歌山,Wakayama,300031,,西国分Ⅱ遺跡,,,,Nishikokubu II,,岩出市西国分,34.265194,135.330694,世界,34,○,,,,,,,,,,,,,,,,,,,,,,黄色粘土層中より出土,和歌山県文化財研究会1981,B300048,,,,,,発掘調査,20050930,中原正光,20220706,光石鳴巳,1,
和歌山,Wakayama,300032,,岩出山崎遺跡,,,,Iwadeyamasaki,,岩出市山崎,34.246831,135.319375,世界,30.8,○,,,,,,,,,,,,,,,,,,,,,,,北村純治2001,B300007,,,,,,採集資料,20050930,中原正光,20220616,光石鳴巳,1,
和歌山,Wakayama,300033,,船岡山遺跡,,,,Funaokayama,,伊都郡かつらぎ町島,34.278442,135.454558,世界,53,,,,,,△,,,,,,,,,,,,,,,,,（暗）黄色小礫混入土より出土,和歌山県教育委員会1986,B300045,,,,,,発掘調査,20050930,中原正光,20220701,光石鳴巳,1,
和歌山,Wakayama,300034,,野田地区遺跡,,,,Noda chiku,,有田郡有田川町野田,34.065256,135.200292,世界,14,,,,,,,,,,,,,,,,,大型石刃核?,,,,,,原位置遊離,吉備町教育委員会1982/和歌山県教育委員会1985a,B300009,B300043,,,,,発掘調査,20050930,中原正光,20220701,光石鳴巳,1,
和歌山,Wakayama,300035,,藤並地区遺跡,1980年度調査第1区,,,Fujinami chiku,Jan-80,有田郡有田川町藤並,34.057264,135.199183,世界,17,○,,,,,△,,,,○,△,△,○,△,△,△,,,,,,,板状有溝砥石,和歌山県教育委員会1985b/立岡和人2002,B300044,B300056,,,,,発掘調査/採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300036,,藤並地区遺跡,1991年度調査M地区,,,Fujinami chiku,1991-M,有田郡有田川町藤並,34.052192,135.201561,世界,25,○,,,,,,,,,,△,,,△,,,,,△,,,,,和歌山県文化財センター1995,B300049,,,,,,発掘調査,20050930,中原正光,20220701,光石鳴巳,1,
和歌山,Wakayama,300037,,土生池遺跡,N地点,,,Habu-ike,Loc.N,有田郡有田川町土生,34.051083,135.204208,世界,30,○,,,,,,,,,,○,,,,○,,,,○,,,,層位的資料,吉備町教育委員会1985/中原正光2003b/1994/2021/吉備町誌編さん委員会1980/森川実2011,B300010,B300032,B300030,B300062,B300011,B300070,発掘調査,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300038,,鷹巣池遺跡,,,,Takanosu-ike,,有田郡有田川町垣倉,34.058889,135.237778,世界,45,○,,,,,,,,,,,,,,,,,,,,,,位置の詳細不明,北村純治2001,B300007,,,,,,採集資料,20050930,中原正光,,,-,
和歌山,Wakayama,300039,,奥Ⅱ遺跡,,,,Oki II,,有田郡有田川町奥,34.053875,135.214306,世界,38.9,,,,,,,,,,○,,,,,,,,,,,,,,吉備町誌編さん委員会1980,B300011,,,,,,採集資料,20050930,中原正光,20220712,光石鳴巳,1,
和歌山,Wakayama,300040,,東大人遺跡,,,,Higashiobito,,御坊市塩屋町南塩屋,33.865792,135.163294,世界,13,○,,,,,,,,,,△,,,,,,,,,,,,,御坊市遺跡調査会1983,B300014,,,,,,発掘調査,20050930,中原正光,20220705,光石鳴巳,1,
和歌山,Wakayama,300041,,尾ノ崎遺跡,,,,Onosaki,,御坊市塩屋町南塩屋,33.859042,135.158847,世界,13,○,,,,,,,,,,△,,,,,,,,,,,,,御坊市遺跡調査会1981/北村純治2001,B300013,B300007,,,,,発掘調査,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300042,,尾ノ崎東部丘陵遺跡,,,,Onosaki tobukyuryo,,御坊市塩屋町南塩屋,33.858653,135.161056,世界,22,○,△,,,,,,○,,,○,,,,,,,,,,,,,御坊市遺跡調査会2000/中原正光2020,B300016,B300060,,,,,発掘調査,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300043,,上祓井戸遺跡,,,,Kamiharaido,,御坊市名田町野島,33.857403,135.162264,世界,17,,,,,,,,,,,,,,,,,石刃核　　　　,,,,,,,中原正光1979b/1988a,B300026,B300028,,,,,採集資料,20050930,中原正光,20221212,中原正光,1,
和歌山,Wakayama,300044,,祓井戸Ⅱ遺跡,,,,Haraido II,,御坊市塩屋町南塩屋,33.857222,135.161389,世界,13,,,,,,,,,,,△,,,,,,錐状石器,,,,,,,御坊市遺跡調査会1996/2000,B300015,B300016,,,,,発掘調査,20050930,中原正光,,,-,
和歌山,Wakayama,300045,,壁川崎遺跡,,,,Kabegozaki,,御坊市名田町野島,33.845736,135.164736,世界,20,○,,,△,△,○,,○,,,△,,,△,,△,,,,,,,,中原正光1979b/1988b/1981/1988a/2023/御坊市史編さん委員会1981b/和歌山市立博物館2010,B300026,B300029,B300027,B300028,B300019,B300068,採集資料,20050930,中原正光,20221212,中原正光,1,
