ID,Site group (Japanese),Site name (Japanese),Locality name (Japanese),Cultural layer,Site group,Site name ,Locality name,Adress (Japanese),North Latitude,East Longitude,Geodetic system,Altitude (Tokyo Peil),Knife shaped tool,Trapeze（Trapezoid）,Axe shaped tool,Tangged point on blade,Triangulared pointed tool,Lanceolate shaped point,Biface,Micro blade,Mikoshiba type axe shaped tool,Tangged point,End scraper/Scraper,Burin,Whetstone,Hammer stone,Anvil stone,Pebble tool,Others (Japanease),Earthenware from the Incipient Jomon,Lithic cluster,Pebble cluster,Charcoal fragment concentration,Other features,Remark,Citation,CitationID1,CitationID2,Citation ID3,Citation ID4,Citation ID5,CitationID6,Research type,Creation date,Created by,Update date,Updated by,Coordinate check
ID,遺跡群名,遺跡名,地点・地区名,文化層・石器文化,遺跡群名読み方,遺跡名読み方,地点・地区名読み方,所在地,緯度,経度,測地系,標高,ナイフ形石器,台形（様）石器,斧形石器,剥片尖頭器,角錐状石器・三稜尖頭器,槍先形尖頭器,両面調整石器,細石刃・細石核等,神子柴型石斧,有茎（舌）尖頭器,掻器・削器,彫器,砥石,叩石,台石,礫器,その他の石器,草創期土器,ブロック･ユニット,礫群・配石,炭化物集中,その他の遺構,特記事項,文献,文献ID1,文献ID2,文献ID3,文献ID4,文献ID5,文献ID6,調査歴,作成年月日,作成者,更新年月日,更新者,位置修正
330001,,甫崎天神山遺跡,,,,Hosakitenjinyama,,岡山市津寺・甫崎・甫嵜,34.67557,133.81736,世界,20,○,,,,,,,,,,,,,,,,剥片,,,,,,,岡山県教育委員会1994,B330022,,,,,,発掘調査,,西田和浩,20171104,小嶋善邦,1
330002,,雲山遺跡,,,,Kumoyama,,岡山市津寺雲山,34.67221,133.81485,世界,15,○,,,,,,,,,,,,,,,,,,,,,,,岡山県教育委員会1994,B330022,,,,,,発掘調査,,西田和浩,20171104,小嶋善邦,1
330003,,吉備津杉尾西遺跡,,,,Kibitsusugionishi,,岡山市吉備津,34.676944,133.838333,世界,40,○,,,,○,○,,,,,○,,,,,,剥片/石核,,,,,,,岡山市教育委員会2003/岡山市教育委員会2010,B330036,B330114,,,,,発掘調査,,西田和浩,20171104,小嶋善邦,1
330004,,百枝月西畑遺跡,,,,Momoezukinishihata,,岡山市百枝月,34.686389,134.069167,世界,30,,,,,,○,,,,,,,,,,,,,,,,,,岡山県教育委員会2003d,B330035,,,,,,採集資料,,西田和浩,,,
330005,,操山218号遺跡,,,,Misaoyama No.218,,岡山市奥市丸山,34.65815,133.95912,世界,105,○,,,,,,,,,,,,,,,,,,,,,,,岡山県教育委員会2003d,B330035,,,,,,採集資料,,西田和浩,20171104,小嶋善邦,1
330006,,操山219号遺跡,,,,Misaoyama No.219,,岡山市沢田,34.666944,133.9625,世界,50,,,,,,○,,,,,,,,,,,,,,,,,,岡山県教育委員会2003d,B330035,,,,,,採集資料,,西田和浩,,,
330007,,操山217号遺跡,,,,Misaoyama No.217,,岡山市門田文化町２丁目,34.65247,133.94616,世界,30,,,,,,,,○,,,,,,,,,,,,,,,,岡山県教育委員会2003d,B330035,,,,,,採集資料,,西田和浩,20171104,小嶋善邦,1
330008,,西庄,,,,Nishishou,,岡山市西庄・広谷,34.66788,134.0214,世界,60,,,,,,,,,,,,,,,,,,,,,,,器種は不明,岡山県教育委員会2003d,B330035,,,,,,採集資料,,西田和浩,20171104,小嶋善邦,1
330009,,宿毛,,,,Shukumo,,岡山市宿毛,34.625556,134.081944,世界,40,○,,,,,,,,,,,,,,,,,,,,,,,岡山県教育委員会2003d,B330035,,,,,,採集資料,,西田和浩,,,
330010,,弁天島遺跡,,,,Bentenjima,,岡山市郡,34.58422,133.95697,世界,5,,,,,,○,,,,,,,,,,,,,,,,,,岡山県教育委員会2003d,B330035,,,,,,採集資料,,西田和浩,20171104,小嶋善邦,1
330011,,郡,,,,Kouri,,岡山市郡,34.5825,133.959167,世界,10,,,,,,○,,,,,,,,,,,,,,,,,,岡山県教育委員会2003d,B330035,,,,,,採集資料,,西田和浩,,,
330012,,米崎,,,,Komesaki,,岡山市小串,34.57768,134.04463,世界,63,○,,,,,○,,,,,○,,,,,,剥片/石核/使用痕ある剥片/二次加工ある剥片,,,,,,,白石純・小野伸・坂田崇1998,B330075,,,,,,採集資料,,西田和浩,20171104,小嶋善邦,1
330013,,沖鼓島遺跡,第１地点,,,Okitsutsumijima,Loc.1,岡山市犬島沖鼓島,34.56323,134.10876,世界,16,○,,,,,,,,,,,,,,,,剥片/石錐,,,,,,,白石純・小野伸・小野勢1997,B330074,,,,,,採集資料,,西田和浩,20171104,小嶋善邦,1
330014,,沖鼓島遺跡,第２地点,,,Okitsutsumijima,Loc.2,岡山市犬島沖鼓島,34.56267,134.10949,世界,25,,,,,,,,,,,,,,,,,剥片/二次加工ある剥片,,,,,,,白石純・小野伸・小野勢1997,B330074,,,,,,採集資料,,西田和浩,20171104,小嶋善邦,1
330015,,地竹ノ子島遺跡,第１地点,,,Jitakenokojima,Loc.1,岡山市犬島地竹ノ子島,34.56101,134.09091,世界,10,○,,,,,○,,○,,,,,,,,,石核/剥片,,,,,,,白石純・小野伸・小野勢1997,B330074,,,,,,採集資料,,西田和浩,20171104,小嶋善邦,1
330016,,地竹ノ子島遺跡,第２地点,,,Jitakenokojima,Loc.2,岡山市犬島地竹ノ子島,34.56025,134.09198,世界,12,○,,,,,,,,,,,,,,,,石核,,,,,,,白石純・小野伸・小野勢1997,B330074,,,,,,採集資料,,西田和浩,20171104,小嶋善邦,1
330017,,沖竹ノ子島遺跡,第１地点,,,Okitakenokoshima,Loc.1,岡山市犬島沖竹ノ子島,34.55852,134.09265,世界,12,○,,,,○,,,,,,,,,,,,剥片,,,,,,,白石純・小野伸・小野勢1997,B330074,,,,,,採集資料,,西田和浩,20171104,小嶋善邦,1
330018,,沖竹ノ子島遺跡,第２地点,,,Okitakenokoshima,Loc.2,岡山市犬島沖竹ノ子島,34.557222,134.093056,世界,15,○,,,,,,,,,,,,,,,,石核,,,,,,,白石純・小野伸・小野勢1997,B330074,,,,,,採集資料,,西田和浩,,,
